Easting,Northing,Elevation,Alteration,Cu,Au,Mo,As,Bn,Cp,Cc,Cv,En,Py,Pyr,Mol,Ga,Sph,TS
650761.28,4766162.52,307.79,5,0.74,0.47,22.1,7.6,1000,6000,0,0,0,12000,0,1000,0,0,20000
650767.66,4766163.01,293.12,5,0.73,0.22,21.1,10.6,1000,7000,0,0,0,12000,0,0,0,0,20000
650772.44,4766163.38,282.12,5,0.36,0.26,25.2,1.9,0,4000,0,0,0,6000,0,0,0,0,10000
650774.04,4766163.48,278.46,5,0.5,0.16,27.7,8.5,2000,12000,0,0,0,24000,0,2000,0,0,40000
650793.41,4766164.67,234.56,5,0.58,0.24,13.5,3.1,600,11100,0,0,0,18000,0,300,0,0,30000
650798.29,4766165.03,223.6,5,0.53,0.24,14.2,3,0,11700,0,0,0,18000,0,300,0,0,30000
650810.6,4766166.05,196.26,5,0.34,0.24,14.65,3.2,0,11400,0,0,0,18000,0,600,0,0,30000
650815.53,4766166.47,185.33,5,0.42,0.17,7.64,4.1,5000,14000,0,0,0,30000,0,1000,0,0,50000
650816.35,4766166.54,183.51,5,0.51,0.32,5.44,2.9,5000,14000,0,0,0,30000,0,1000,0,0,50000
650856.64,4766170.52,96.46,5,0.54,0.24,146,1.2,4500,6000,0,0,0,18000,0,1500,0,0,30000
650860.01,4766170.87,89.22,5,0.54,0.31,28,1.8,4000,10800,0,0,0,24000,0,1200,0,0,40000
650911.02,4766176.66,-21.46,5,0.34,0.14,33,10.1,300,11700,0,0,0,18000,0,0,0,0,30000
650913.51,4766176.89,-26.91,5,0.32,0.14,9.68,7.7,0,10500,0,0,0,18000,0,1500,0,0,30000
650975.9,4766182.77,-165.39,5,0.59,0.35,338,10.9,0,10500,0,0,0,18000,0,1500,0,0,30000
650977.53,4766182.93,-169.04,5,0.66,0.08,89.3,4.8,0,10500,0,0,0,18000,0,1500,0,0,30000
650991.27,4766184.53,-200.1,5,0.25,0.04,20.4,3.2,0,4000,0,0,0,6000,0,0,0,0,10000
650999.33,4766185.36,-218.38,5,0.2,0.03,34.8,3.5,0,7200,0,0,0,12000,0,800,0,0,20000
650836.4,4766168.38,139.93,3,1.25,0.33,15.15,32.6,1500,21000,0,0,0,6000,0,1500,0,0,30000
650837.24,4766168.47,138.12,3,0.68,0.42,26.6,41.2,1500,11000,0,0,0,35000,0,2500,0,0,50000
650838.09,4766168.56,136.31,3,0.59,0.45,13.9,9.5,0,5000,0,0,0,14000,0,1000,0,0,20000
651023.48,4766187.77,-273.26,5,0.43,0.06,28.2,2.9,0,8000,0,0,0,12000,0,0,0,0,20000
651030.68,4766188.59,-289.73,5,0.63,0.06,82.6,2.5,0,9250,0,0,0,15000,0,750,0,0,25000
651046.68,4766190.43,-326.35,5,0.28,0.07,25.7,3.5,0,7000,0,0,0,12000,0,1000,0,0,20000
651072.8,4766193.19,-386.89,5,0.89,0.3,11.55,5.1,0,11400,0,0,0,18000,0,600,0,0,30000
650850.81,4765727.5,224.97,5,0.16,0.04,14.4,5.1,0,6000,0,0,0,9000,0,0,0,0,15000
651031.48,4766188.68,-291.56,5,0.68,0.06,20.8,2.7,0,10500,0,0,0,18600,0,900,0,0,30000
650847.36,4766169.54,116.38,3,0.49,0.19,13.45,3.9,0,8500,0,0,0,40000,0,1500,0,0,50000
650848.21,4766169.63,114.57,3,0.65,0.26,83.7,37.5,0,10800,0,0,0,48000,0,1200,0,0,60000
650865.08,4766171.41,78.35,5,0.49,0.25,26.2,1.6,1250,7500,0,0,0,15750,0,500,0,0,25000
651013.02,4766186.71,-249.48,5,0.34,0.08,243,4.9,0,9000,0,0,0,18900,0,2100,0,0,30000
651062.61,4766192.2,-363,5,0.31,0.06,11.5,3.6,0,8750,0,0,0,15750,0,500,0,0,25000
651141.17,4766198.01,-553.33,5,0.09,0.03,10.4,9.5,0,5250,0,0,0,9450,0,300,0,0,15000
650989.66,4766184.34,-196.44,5,0.37,0.2,54,9.5,0,3500,0,0,0,6400,0,100,0,0,10000
650747.73,4766161.59,338.96,5,0.4,0.18,10.3,19.8,0,10500,0,0,0,19500,0,0,0,0,30000
650783.71,4766164.04,256.5,5,0.57,0.23,52.8,20.6,0,6000,0,0,0,13000,0,1000,0,0,20000
650797.48,4766164.97,225.42,5,0.68,0.28,18.6,6,400,13600,0,0,0,26000,0,0,0,0,40000
650812.24,4766166.19,192.62,5,0.32,0.2,3.86,2.3,600,9000,0,0,0,19500,0,900,0,0,30000
650818.86,4766166.76,178.06,5,0.42,0.22,6.75,2.9,1500,8400,0,0,0,19500,0,600,0,0,30000
650825.53,4766167.37,163.53,5,0.4,0.23,9.03,5.7,0,10500,0,0,0,22750,0,1750,0,0,35000
650843.99,4766169.18,123.63,5,0.48,0.2,27,1.9,1250,7500,0,0,0,16250,0,0,0,0,25000
650874.28,4766172.46,58.39,5,0.69,0.26,132,6.1,600,9000,0,0,0,19500,0,900,0,0,30000
650892.66,4766174.58,18.47,5,0.39,0.26,9.38,22.4,600,6400,0,0,0,13000,0,0,0,0,20000
650912.68,4766176.81,-25.09,5,0.43,0.47,22.7,44.4,0,10500,0,0,0,19500,0,0,0,0,30000
650938.31,4766179.11,-81.5,5,1.06,0.65,28.8,4,0,10500,0,0,0,19500,0,0,0,0,30000
650962.83,4766181.45,-136.21,5,0.16,0.11,47.8,11,0,9000,0,0,0,19500,0,1500,0,0,30000
650963.65,4766181.54,-138.03,5,0.5,0.11,116.5,9.3,0,9000,0,0,0,19500,0,1500,0,0,30000
651022.68,4766187.67,-271.43,5,0.24,0.04,81,3.5,0,4500,0,0,0,9750,0,750,0,0,15000
651025.08,4766187.95,-276.92,5,0.24,0.02,5.75,4.1,0,2700,0,0,0,6500,0,800,0,0,10000
